,ID,Title,Year,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,Directors,Genres,Country,Language,Runtime
8206,8207,Along Recovery,2012,16,8.6,,0,0,1,0,Justin J. Springer,Documentary,United States,English,94
5958,5959,Tom Petty and the Heartbreakers: Runnin' Down a Dream,2007,,8.6,100,0,0,1,0,Peter Bogdanovich,"Documentary,Music",United States,English,239
4429,4430,Diana Krall: Live in Paris,2002,,8.6,,0,0,1,0,David Barnard,Music,United States,English,113
15334,15335,Merku Thodarchi Malai,2018,,8.6,,1,0,0,0,Leninbharati,Drama,India,"Tamil,Malayalam",122
3929,3930,George Carlin: You Are All Diseased,1999,18,8.6,,0,0,1,0,Rocco Urbisci,"Documentary,Comedy",United States,English,65
6089,6090,Dear Zachary: A Letter to a Son About His Father,2008,,8.6,94,0,0,1,0,Kurt Kuenne,"Documentary,Biography,Crime,Drama",United States,English,95
16195,16196,K. D.,2019,,8.6,,1,0,0,0,"Prasad Gavandi,Suleman Quadri","Crime,Drama,Mystery,Thriller",,,
2601,2602,Stop Making Sense,1984,,8.6,100,0,0,1,0,Jonathan Demme,"Documentary,Music",United States,English,88
8530,8531,"Inner Worlds, Outer Worlds",2012,,8.6,,0,0,1,0,Daniel Schmidt,"Documentary,History",Canada,"English,French,Spanish,German,Hindi,Polish",122
16326,16327,Parasite,2019,18,8.6,99,0,1,1,0,Bong Joon Ho,"Comedy,Drama,Thriller",South Korea,"Korean,English",132
10940,10941,Yellow Colt,2014,,8.6,,0,0,1,0,Khoroldorj Choijoovanchig,Drama,"Mongolia,South Korea",Mongolian,91
15290,15291,Luciano Mellera: Infantiloide,2018,13,8.6,,1,0,0,0,"Raúl Campos,Jan Suter",Comedy,Argentina,Spanish,66
3270,3271,Bill Hicks: Revelations,1993,,8.6,,1,0,1,0,Chris Bould,"Documentary,Comedy",United Kingdom,English,57
14463,14464,The Soul of Success: The Jack Canfield Story,2017,,8.6,,0,0,1,0,Nick Nanton,Documentary,United States,English,54
1293,1294,Father of a Soldier,1964,,8.6,,0,0,1,0,Rezo Chkheidze,"Drama,War",Soviet Union,"Georgian,Russian",87
9698,9699,Slaughter Nick for President,2013,,8.6,,0,0,1,0,"Rob Stewart,Liza Vespi,Marc Vespi","Documentary,Biography,Comedy,Music","Canada,Serbia and Montenegro",English,73
9857,9858,The Sixth Man: Bluesanity,2013,,8.6,,0,0,1,0,Jason Epperson,Documentary,United States,English,85
6637,6638,Home,2009,,8.6,,0,0,1,0,Tim Johnson,"Animation,Adventure,Comedy,Family,Fantasy,Sci-Fi",United States,"English,French",94
13346,13347,Aruvi,2017,,8.6,,0,0,1,0,Arun Prabhu Purushothaman,Drama,India,Tamil,130
2382,2383,Grateful Dead: Dead Ahead,1981,,8.6,,0,0,1,0,Len Dell'Amico,Music,United States,English,114
670,671,It's a Wonderful Life,1946,7,8.6,94,0,0,1,0,Frank Capra,"Drama,Family,Fantasy",United States,"English,French",130
2089,2090,Star Wars: A New Hope,1977,7,8.6,92,0,0,0,1,George Lucas,"Action,Adventure,Fantasy,Sci-Fi",United States,English,121
3841,3842,Run Baby Run,1998,,8.6,,0,0,1,0,Joshiy,"Action,Comedy,Thriller",India,"Malayalam,Telugu",180
10229,10230,Fabulous Frogs,2014,7,8.6,,0,0,1,0,Sally Thomson,"Documentary,Family",,English,54
6889,6890,The Legend of Pancho Barnes and the Happy Bottom Riding Club,2009,13,8.6,,0,0,1,0,Amanda Pope,Documentary,United States,English,65
14620,14621,Zakir Khan : Haq Se Single,2017,,8.6,,0,0,1,0,Angshuman Ghosh,Comedy,India,Hindi,90
2232,2233,Gol Maal,1979,18,8.6,,1,0,1,0,Hrishikesh Mukherjee,"Comedy,Romance",India,Hindi,120
16146,16147,Hikaru Utada Laughter in the Dark Tour 2018,2019,0,8.6,,1,0,0,0,Satyajit Bhatkal,Music,Japan,Japanese,141
16550,16551,True: Happy Hearts Day,2019,0,8.6,,1,0,0,0,Harold Harris,"Animation,Short,Adventure,Family,Fantasy",,,
4009,4010,The Green Mile,1999,18,8.6,78,0,1,0,0,Frank Darabont,"Crime,Drama,Fantasy,Mystery",United States,"English,French",189
4472,4473,Making Marines,2002,,8.6,,0,0,1,0,Alex Braverman,Documentary,United States,English,180
8879,8880,The New Public,2012,,8.6,,0,0,1,0,Jyllian Gunther,Documentary,United States,English,87
6140,6141,George Carlin: It's Bad for Ya!,2008,,8.6,,0,0,1,0,Rocco Urbisci,"Documentary,Comedy",United States,English,70
10791,10792,The Medicine Game,2014,,8.6,,0,0,1,0,Lukas Korver,"Documentary,Drama",United States,English,68
3592,3593,"Michael Jordan, Above and Beyond",1996,0,8.5,,0,0,1,0,Michael Winik,"Documentary,Sport",United States,English,54
2620,2621,Back to the Future,1985,7,8.5,96,1,0,0,0,Robert Zemeckis,"Adventure,Comedy,Sci-Fi",United States,English,116
6498,6499,Beyond the Summits,2009,,8.5,,0,0,1,0,Rémy Tezier,Documentary,France,French,80
