id,title,year,age,imdb,rotten_tomatoes,netflix,hulu,prime,disney
3014,Learning with Vehicles,2015,,,0,0,0,1,0
3015,Lego Star Wars: Droid Tales,2015,7,7.5,0,0,0,0,1
3016,Leo the Truck,2015,,,0,0,0,1,0
3017,Leo the Wildlife Ranger,2015,,7,0,0,0,1,0
3018,Life in Pieces,2015,7,8,0,0,1,0,0
3019,Life In Squares,2015,,6.5,0,0,0,1,0
3020,Life on Mar's: The Home Makeover Show,2015,,,0,0,0,1,0
3021,Life on the Reef,2015,,8,0,0,0,1,0
3022,Limitless,2015,16,7.7,57,1,0,0,0
3023,Locked Up,2015,16,8.3,100,1,0,0,0
3024,Logan's Adventures,2015,,,0,0,0,1,0
3025,Logos Hope - Port Reports,2015,,,0,0,0,1,0
3026,London Spy,2015,18,7.5,86,1,0,0,0
3027,Londongrad,2015,7,5.8,0,0,0,1,0
3028,Lords and Ladles,2015,,8.1,0,1,0,0,0
3029,Los Cowboys,2015,,8.6,0,0,1,0,0
3030,Lost & Found Music Studios,2015,0,6.7,0,1,0,0,0
3031,Lost in Oz,2015,7,7.7,0,0,0,1,0
3032,Love Cuisine,2015,,8.1,0,1,0,0,0
3033,Love Island,2015,,5.1,0,0,1,0,0
3034,Love Through a Millennium,2015,,7.7,0,1,0,0,0
3035,Mad Dogs,2015,18,7.5,66,0,0,1,0
3036,Mad Fabricators Society,2015,,,0,0,0,1,0
3037,Maharakshak Devi,2015,,6.4,0,1,0,0,0
3038,Major Lazer,2015,18,7.5,0,0,1,0,0
3039,Make It Pop,2015,0,4.9,0,0,1,0,0
3040,Making a Murderer,2015,16,8.6,84,1,0,0,0
3041,Malyshariki,2015,,7.1,0,0,1,0,0
3042,Mamon,2015,,7.4,0,0,0,1,0
3043,Man Finds Food,2015,7,7.4,0,0,1,0,0
3044,Man Seeking Woman,2015,18,7.7,93,0,1,0,0
3045,Maniac,2015,,7,0,1,0,0,0
3046,Marvel's Agent Carter,2015,7,7.9,86,0,0,0,1
3047,Marvel's Daredevil,2015,18,8.6,92,1,0,0,0
3048,Marvel's Guardians of the Galaxy,2015,7,7.4,0,0,0,0,1
3049,Marvel's Jessica Jones,2015,18,8,83,1,0,0,0
3050,Master of None,2015,18,8.3,100,1,0,0,0
3051,Merlí,2015,16,8.6,0,1,0,0,0
3052,Metropolis,2015,,7.7,0,0,0,1,0
3053,Midwest Speed and Power,2015,,,0,0,0,1,0
3054,Mighty Magiswords,2015,7,4.9,0,0,1,0,0
3055,Miles from Tomorrowland,2015,0,6.7,0,0,1,0,0
3056,Minecraft: Story Mode,2015,,,0,1,0,0,0
3057,Miraculous: Tales of Ladybug & Cat Noir,2015,7,7.8,0,1,0,0,0
3058,Mission NinetyTwo,2015,,4.2,0,0,0,1,0
3059,Missy Mila Twisted Tales,2015,,,0,0,0,1,0
3060,Mobile Suit Gundam: Iron-Blooded Orphans,2015,18,7.9,0,1,0,0,0
3061,Molang,2015,0,8.4,0,1,0,1,0
3062,Monument Men - The Road to Rushmore,2015,,,0,0,0,1,0
3063,Mr. Robot,2015,18,8.5,94,0,0,1,0
3064,Murder Maps,2015,16,7.5,0,1,0,0,0
3065,My Little Lover,2015,,6.9,0,1,0,0,0
3066,My Love Story!!,2015,7,7.8,0,0,1,0,0
3067,My Sister-in-Law,2015,,,0,0,0,1,0
3068,Naked and Afraid XL,2015,16,7.3,0,0,1,0,0
3069,Narco Finance,2015,,7.8,0,0,0,1,0
3070,Narcos,2015,18,8.8,89,1,0,0,0
3071,NASA Television Documentaries,2015,,,0,0,1,0,0
3072,Nature Cat,2015,0,7.1,0,0,0,1,0
3073,"Neon Joe, Werewolf Hunter",2015,16,7.2,0,0,1,0,0
3074,Night Guard,2015,18,7.7,0,0,1,0,0
3075,"Nightmare Tenants, Slum Landlords",2015,,,0,1,0,0,0
3076,Nightwatch,2015,16,8.9,0,0,1,0,0
3077,Nikola Tesla and the End of the World,2015,,5,0,0,0,1,0
3078,Nina's World,2015,,,0,0,1,0,0
3079,No Activity,2015,18,7.9,0,0,1,0,0
3080,Occupied,2015,16,7.7,0,1,0,0,0
3081,Oddbods,2015,7,6.3,0,1,1,1,0
3082,Oh My Ghost,2015,,7.2,0,1,0,0,0
3083,Oh My Venus,2015,,7.8,0,0,1,0,0
3084,Old Money,2015,7,7.6,0,1,0,0,0
3085,Olympus,2015,16,6.2,0,0,0,1,0
3086,One Thousand and One Nights,2015,,,0,0,0,1,0
3087,One-Punch Man,2015,16,8.8,100,1,1,0,0
3088,Out of Office with Brent Rose,2015,,,0,0,1,1,0
3089,Overlord,2015,18,7.8,0,0,1,0,0
3090,Paranormal Survivor,2015,7,6.3,0,1,0,0,0
3091,Patriot,2015,18,8.3,90,0,0,1,0
3092,Pinkfong! Bedtime Lullabies,2015,,,0,0,0,1,0
3093,PJ Masks,2015,0,5.6,0,1,0,0,1
3094,Plastic Memories,2015,16,7.3,0,0,1,0,0
3095,Poh & Co,2015,,7.4,0,1,0,0,0
3096,Poldark,2015,16,8.3,87,0,0,1,0
3097,Pompidou,2015,,4,0,0,0,1,0
3098,Project Mc²,2015,0,6,0,1,0,0,0
3099,Psiconautas,2015,,7,0,1,0,0,0
3100,Puffin Rock,2015,0,8.7,0,1,0,0,0
3101,Quantico,2015,16,6.7,82,1,0,0,0
3102,Raised Hunting,2015,,,0,0,0,1,0
3103,Raja Rasoi Aur Anya Kahaniyan,2015,,8.8,0,1,0,1,0
3104,Rat-A-Tat,2015,,,0,0,0,1,0
3105,Razia Sultan,2015,,5.7,0,1,0,0,0
3106,Real Rob,2015,18,6.4,0,1,0,0,0
3107,Red Nose Day,2015,,,0,0,1,0,0
3108,Red Rock,2015,7,7.6,0,0,0,1,0
3109,Religions of the World,2015,,5.7,0,0,0,1,0
3110,Reno My Reno,2015,,8.3,0,1,0,0,0
3111,Residue,2015,16,6.1,0,1,0,0,0
3112,Restaurant Australia,2015,,6,0,1,0,0,0
3113,Richard E. Grant's 7 Deadly Sins of the Animal Kingdom,2015,,,0,0,0,1,0
3114,Richie Rich,2015,0,3.2,0,1,0,0,0
3115,Rimba Racer,2015,,8.1,0,1,0,0,0
3116,Rin-ne,2015,16,6.6,0,0,1,0,0
3117,River,2015,7,8,100,0,0,1,0
3118,RocketJump: The Show,2015,16,7.2,0,0,1,0,0
3119,Rosewood,2015,16,6.7,9,0,1,0,0
3120,"Ruff-Ruff, Tweet and Dave",2015,0,7.6,0,0,1,0,0
3121,Save our Shelter,2015,,7.5,0,1,0,0,0
3122,Sawyer Sessions,2015,,,0,0,0,1,0
3123,Schitt's Creek,2015,16,8.4,50,1,0,1,0
3124,Scream Queens,2015,16,7.1,75,0,1,0,0
3125,Scream: The TV Series,2015,16,7.2,0,1,0,0,0
3126,Sea of Plastic,2015,,7.2,0,1,0,0,0
3127,Secrets of Ancient Rome,2015,,,0,1,0,0,0
3128,Secrets of Great British Castles,2015,7,7.8,0,1,0,0,0
3129,Sense8,2015,18,8.3,86,1,0,0,0
3130,Seraph of the End,2015,16,7.5,0,0,1,0,0
3131,Servant of the People,2015,7,6.9,0,1,0,0,0
3132,Sex&Drugs&Rock&Roll,2015,16,7.1,0,0,1,0,0
3133,Shark,2015,,8.5,0,1,0,0,0
3134,She Was Pretty,2015,,7.7,0,0,0,1,0
3135,SHIMONETA: A Boring World Where the Concept of Dirty Jokes Doesn't Exist,2015,18,7.1,0,0,1,0,0
3136,Singles Villa,2015,,7.5,0,1,0,0,0
3137,Six Puppies and Us,2015,0,6.8,0,1,0,0,0
3138,Siyaasat,2015,,,0,0,0,1,0
3139,Sneaky Pete,2015,18,8.2,96,0,0,1,0
3140,Snow White with the Red Hair,2015,16,7.8,0,0,1,0,0
3141,So Awkward,2015,,7.5,0,1,0,0,0
3142,Someone Like You,2015,,8,0,1,0,0,0
3143,Sports on Fire,2015,,7.6,0,1,0,0,0
3144,Spotless,2015,,7.9,100,1,0,0,0
3145,Star vs. the Forces of Evil,2015,7,8,0,0,1,0,1
3146,StarTalk with Neil deGrasse Tyson,2015,0,7.8,0,0,1,1,0
3147,Station Horizon,2015,7,7.2,0,1,0,0,0
3148,Steampunk'd,2015,,5.8,0,1,1,0,0
3149,Stories by Rabindranath Tagore,2015,16,8.9,0,1,0,0,0
3150,Super Wings!,2015,0,6.2,0,1,0,1,0
3151,Supergirl,2015,7,6.3,88,1,0,0,0
3152,Supernoobs,2015,7,3.5,0,0,1,0,0
3153,Supersized,2015,,,0,0,0,1,0
3154,Superstore,2015,16,7.8,92,0,1,0,0
3155,Sydney Sailboat,2015,,7.9,0,0,1,0,0
3156,Tales by Light,2015,,8.3,0,1,0,0,0
3157,Tales of Irish Castles,2015,7,7.3,0,1,0,0,0
3158,Taraji and Terrence's White Hot Holidays,2015,,,0,0,1,0,0
3159,Tatiana's Night,2015,,,0,0,0,1,0
3160,Terrace House: Boys & Girls in the City,2015,7,8.2,0,1,0,0,0
3161,Texas Rising,2015,16,6.7,19,0,0,1,0
3162,The Adventures of Puss in Boots,2015,7,6.7,0,1,0,0,0
3163,The Amazing Gayl Pile,2015,,5.1,0,0,0,1,0
3164,The American Dream Project,2015,,6.8,0,0,0,1,0
3165,The Asterisk War,2015,16,6.8,0,0,1,0,0
3166,The Bacca Chronicles,2015,,,0,0,0,1,0
3167,The Bastard Executioner,2015,18,6.2,47,0,1,0,0
3168,The Beautiful Lie,2015,,7.3,0,0,1,0,0
3169,The Brain with Dr. David Eagleman,2015,7,8.7,0,0,0,1,0
3170,The Carmichael Show,2015,7,7.6,86,0,1,0,0
3171,The Coeds,2015,,,0,0,0,1,0
3172,The Comedians,2015,18,6.7,58,0,1,0,0
3173,The Crime,2015,,6.2,0,1,0,0,0
3174,The Crowned Goddess,2015,7,7.2,0,0,1,0,0
3175,The Dandy,2015,0,5.9,0,1,0,0,0
3176,The Dearest Lady,2015,,6.4,0,1,0,0,0
3177,The Delivery Man,2015,16,7.2,0,0,0,1,0
3178,The Detectives,2015,,7.8,0,0,0,1,0
3179,The Disguiser,2015,,7.7,0,1,0,0,0
3180,The Expanse,2015,16,8.5,93,0,0,1,0
3181,The Frankenstein Chronicles,2015,16,7.3,78,1,0,0,0
3182,The Good Cop,2015,,7.5,0,1,0,0,0
3183,The Hotel Barclay,2015,,,0,0,0,1,0
3184,The Kennedys,2015,7,7.2,0,0,1,0,0
3185,The Kicks,2015,0,7,0,0,0,1,0
3186,The Last Alaskans,2015,18,8.5,0,0,1,0,0
3187,The Last Kingdom,2015,18,8.4,91,1,0,0,0
3188,The Last Man on Earth,2015,16,7.3,84,0,1,0,0
3189,The Lazy Chef,2015,,,0,0,0,1,0
3190,"The Long, Long Holiday",2015,7,8.9,0,1,0,0,0
3191,The Magicians,2015,16,7.6,0,1,0,0,0
3192,The Man in the High Castle,2015,18,8,84,0,0,1,0
3193,The Manners of Downton Abbey,2015,,7.6,0,0,0,1,0
3194,The Messengers,2015,16,6.5,47,1,0,0,0
3195,The Method,2015,18,7.4,0,1,0,0,0
3196,The Mr. Peabody & Sherman Show,2015,7,5.6,80,1,0,0,0
3197,The Muppets,2015,7,7.4,64,0,0,0,1
3198,The Murder Detectives,2015,,7.7,0,1,0,0,0
3199,The New Adventures of Figaro Pho,2015,0,7.1,0,1,1,0,0
3200,The Odd Couple,2015,7,6.4,0,0,1,0,0
3201,The Principal,2015,18,7.5,0,0,0,1,0
3202,The Romeo Section,2015,16,6.9,0,0,1,0,0
3203,The Royals,2015,16,7.5,0,0,0,1,0
3204,The Scholar Who Walks the Night,2015,,7.3,0,0,0,1,0
3205,The Seventies,2015,7,8.3,0,1,0,0,0
3206,The Slap,2015,16,7.6,67,0,1,1,0
3207,The Special Needs Hotel,2015,,,0,0,0,1,0
3208,The Story of Furong,2015,,,0,0,0,1,0
3209,The Timeline,2015,,8.2,0,0,0,1,0
3210,The War at Sea,2015,,,0,0,0,1,0
3211,The Wheelchair President,2015,,6.4,0,0,0,1,0
3212,Things I Do,2015,,,0,0,1,0,0
3213,Thomas Edison's Secret Lab,2015,,,0,0,0,1,0
3214,Thunderbirds Are Go!,2015,0,6.7,0,0,0,1,0
3215,To Be Continued,2015,0,,0,1,0,0,0
3216,Total Drama Presents: The Ridonculous Race,2015,7,6.6,0,1,0,0,0
3217,Transformers: Robots In Disguise,2015,0,6,0,1,0,0,0
3218,Trapped,2015,18,8.1,0,0,0,1,0
3219,Travel Man: 48 Hours in...,2015,7,8.3,0,0,1,0,0
3220,True War Stories,2015,,,0,0,0,1,0
3221,Unbreakable Kimmy Schmidt,2015,16,7.6,96,1,0,0,0
3222,"Underworld, Inc.",2015,7,2.1,0,0,1,0,0
3223,Unforgotten,2015,18,8.2,0,0,0,1,0
3224,UnREAL,2015,18,7.8,82,0,1,0,0
3225,Utano Princesama Revolutions,2015,,4.1,0,0,1,0,0
3226,Utawarerumono: The False Faces,2015,16,6.5,0,0,1,0,0
3227,Vanity,2015,,6.6,0,0,0,1,0
3228,Vegimer,2015,,,0,0,1,0,0
3229,Versailles,2015,16,7.9,66,1,0,0,0
3230,Very British Problems,2015,,7.2,0,0,0,1,0
3231,W/ Bob & David,2015,18,7.4,89,1,0,0,0
3232,Wake Up,2015,,7,0,1,0,0,0
3233,Warning Men Thinking,2015,,,0,0,0,1,0
3234,Wayward Pines,2015,16,7.4,61,0,1,0,0
3235,We Bare Bears,2015,7,7.9,0,1,1,0,0
3236,We`ll Talk When You Get Back,2015,,,0,0,0,1,0
3237,Westside,2015,,8,0,0,0,1,0
3238,Wet Hot American Summer: First Day of Camp,2015,16,7.4,0,1,0,0,0
3239,What on Earth?,2015,7,5.8,0,0,1,0,0
3240,What's for Sale? With a View,2015,,6.8,0,1,0,0,0
3241,When I See You Again,2015,,7.1,0,1,0,0,0
3242,When We Go to War,2015,16,7,0,0,0,1,0
3243,Wild North,2015,,7.3,0,0,0,1,0
3244,Wildest Middle East,2015,,,0,1,0,1,0
3245,Wishenpoof!,2015,0,4.5,0,0,0,1,0
3246,Witch Hunt: A Century of Murder,2015,18,7.1,0,1,0,0,0
3247,WITS Academy,2015,0,5.7,0,0,1,0,0
3248,Wolf Hall,2015,16,8.1,98,0,0,1,0
3249,Wonder Balls,2015,,,0,0,0,1,0
3250,Working 24 Hours At...,2015,,,0,0,1,1,0
3251,X Company,2015,16,7.7,0,0,1,0,0
3252,Younger,2015,16,7.8,99,0,1,0,0
3253,Yunus Emre: Aşkın Yolculuğu,2015,,7.8,0,1,0,0,0
3254,Zoo,2015,16,6.8,82,1,0,0,0
3255,Zorro the Chronicles,2015,0,6.9,0,0,1,0,0
3256,3%,2016,7,7.4,33,1,0,0,0
3257,100% Hotter,2016,,4.4,0,1,0,0,0
3258,11.22.63,2016,18,8.2,80,0,1,0,0
3259,1Life,2016,,,0,0,0,1,0
3260,205 Live,2016,7,7.1,0,0,1,0,0
3261,60 Days In,2016,16,7.7,0,0,1,0,0
3262,60 Second Docs,2016,,,0,0,0,1,0
3263,72 Cutest Animals,2016,,5.7,0,1,0,0,0
3264,72 Dangerous Places to Live,2016,18,6.4,0,1,0,0,0
3265,90 Day Fiancé: Happily Ever After?,2016,16,6.3,0,0,1,0,0
3266,999: Killer on the Line?,2016,,7.4,0,0,0,1,0
3267,A Brief History,2016,,,0,0,1,0,0
3268,Abandoned,2016,16,8.4,0,0,1,0,0
3269,ABC News | Features,2016,,,0,0,1,0,0
3270,ABC News | Garage Geniuses,2016,,,0,0,1,0,0
3271,Adam & Eve,2016,,,0,0,0,1,0
3272,After the Raves,2016,,5.9,0,1,0,0,0
3273,Age of Glory,2016,,7.7,0,1,0,0,0
3274,Alice in Paris,2016,,8.9,0,0,0,1,0
3275,All or Nothing,2016,18,8.6,0,0,0,1,0
3276,All the Pizza,2016,,,0,0,1,1,0
3277,America Divided,2016,16,3.8,0,0,0,1,0
3278,American Crime Story,2016,18,8.4,93,1,0,0,0
3279,American Gothic,2016,16,6.7,58,0,0,1,0
3280,American Housewife,2016,7,7.3,0,0,1,0,0
3281,America's Untold Journey 450 Years of the African American Experience,2016,,,0,0,0,1,0
3282,An American Girl Story - Melody 1963: Love Has to Win,2016,0,7.6,0,0,0,1,0
3283,Ancient Top 10,2016,16,7.7,0,0,1,0,0
3284,Angie Tribeca,2016,16,7,96,0,1,0,0
3285,ANGRY ALIENS,2016,,,0,0,0,1,0
3286,Animal Kingdom,2016,18,8.2,0,0,0,1,0
3287,Another Dirty Room,2016,,,0,0,0,1,0
3288,Another Miss Oh,2016,,7.9,0,1,0,0,0
3289,Aprender con los Mini Constructores,2016,,,0,0,0,1,0
3290,Ask the Storybots,2016,0,8.1,0,1,0,0,0
3291,Atlanta,2016,18,8.6,97,0,1,0,0
3292,Atomic Puppet,2016,7,5.1,0,1,0,0,0
3293,Aussie Gold Hunters,2016,7,7.1,0,1,0,0,0
3294,BabyFirst's Easter Special,2016,,,0,0,0,1,0
3295,Back to 1989,2016,,8.2,0,1,0,0,0
3296,Bakers vs. Fakers,2016,0,6.5,0,0,1,0,0
3297,Bala Loca,2016,,8.1,0,1,0,0,0
3298,Barbarians Rising,2016,18,7.8,0,0,1,0,0
3299,Barn Find Hunter,2016,,,0,0,0,1,0
3300,Baskets,2016,18,7.5,92,0,1,0,0
3301,Bat Pat,2016,,,0,1,0,1,0
3302,Battlefield Recovery,2016,,6.5,0,1,0,1,0
3303,Beach Hunters,2016,,4.6,0,0,1,0,0
3304,Beat Bugs,2016,0,7.6,0,1,0,0,0
3305,Beginnings,2016,,,0,0,0,1,0
3306,Behind Bars: The World's Toughest Prisons,2016,,,0,0,0,1,0
3307,Ben 10,2016,7,2.5,0,1,0,0,0
3308,Beowulf: Return to the Shieldlands,2016,7,5.8,0,0,0,1,0
3309,Better Things,2016,7,7.7,97,0,1,0,0
3310,Big Easy Motors,2016,7,6.2,0,0,0,1,0
3311,BigDo2 - Random Hair,2016,,,0,0,0,1,0
3312,Billion Dollar Wreck,2016,7,4.7,0,0,0,1,0
3313,Bioterrorism: The Truth,2016,,,0,0,1,0,0
3314,Bizaardvark,2016,0,3.5,0,0,0,0,1
3315,Black Market: Dispatches,2016,18,7.8,0,0,1,0,0
3316,Blippi,2016,0,8.2,0,0,0,1,0
3317,Blippi - Videos for Kids,2016,,,0,0,0,1,0
3318,Blood & Treasures,2016,,8,0,1,0,0,0
3319,Bloque de Búsqueda,2016,,7.8,0,0,1,0,0
3320,Board AF,2016,,,0,0,0,1,0
3321,Bong Appétit,2016,16,8,0,0,1,0,0
3322,Bookaboo,2016,0,7.8,0,0,0,1,0
3323,Borderline,2016,16,7.1,0,1,0,0,0
3324,Bordertown,2016,7,7.6,39,1,0,0,0
3325,Bottersnikes & Gumbles,2016,7,5.1,0,1,0,0,0
3326,BrainDead,2016,16,8.1,65,0,0,1,0
3327,Bridget & Eamon,2016,16,7.7,0,0,0,1,0
3328,Brojects,2016,,8,0,1,0,0,0
3329,Brown Nation,2016,,6.9,0,1,0,0,0
3330,Buddha,2016,,8.4,0,1,0,0,0
3331,BuzzFeed Unsolved - True Crime,2016,,8.9,0,0,1,1,0
3332,Buzzfeed Unsolved: Supernatural,2016,,8.7,0,0,1,1,0
3333,Candle in the Tomb,2016,,7.3,0,0,0,1,0
3334,Cannabis,2016,16,6.9,0,1,0,0,0
3335,"Can't Cope, Won't Cope",2016,,7.3,0,1,0,0,0
3336,Cape Town,2016,16,6.1,0,0,0,1,0
3337,Captive,2016,,7,71,1,0,0,0
3338,Car Patrol: The Adventures of Matt the Police Car and Frank the Firetruck,2016,,,0,0,0,1,0
3339,Carl Transform of Car City,2016,,,0,0,0,1,0
3340,Carl's Car Wash - Super Simple,2016,,5,0,0,0,1,0
3341,Chance,2016,16,7.7,75,0,1,0,0
3342,Chasing Bigfoot: The Quest For Truth,2016,,,0,0,0,1,0
3343,Chasing Cameron,2016,7,3.6,0,1,0,0,0
3344,Chasing November,2016,,,0,0,0,1,0
3345,Cheer Squad,2016,7,7.3,0,1,0,0,0
3346,Cheese in the Trap,2016,16,7.4,0,1,0,0,0
3347,Chef's Table: France,2016,16,8.3,0,1,0,0,0
3348,Chelsea,2016,18,6.1,41,1,0,0,0
3349,Chelsea Does,2016,18,7.2,79,1,0,0,0
3350,Chi's Sweet Adventure,2016,,7.5,0,0,0,1,0
3351,Christianity for Beginners,2016,,,0,0,0,1,0
3352,Cinderella and Four Knights,2016,,7.2,0,1,0,0,0
3353,ClassicaLoid,2016,16,6.4,0,0,1,0,0
3354,Cleverman,2016,16,6.4,86,1,0,0,0
3355,Clip: Lego Set Builds Minifgures - Artifex,2016,,,0,0,0,1,0
3356,Close Your Eyes Before It's Dark,2016,,7.2,0,1,0,0,0
3357,Coach Snoop,2016,0,6.8,0,1,0,0,0
3358,Colony,2016,16,7.4,92,1,0,0,0
3359,Concepto de Vida Plena,2016,,,0,0,0,1,0
3360,Conquering Southern China,2016,,,0,0,0,1,0
3361,Container Homes,2016,,6.5,0,0,1,0,0
3362,Containment,2016,16,7.2,50,1,0,0,0
3363,Cooked,2016,7,8.1,0,1,0,0,0
3364,Cooks vs. Cons,2016,7,5.2,0,0,1,0,0
3365,Cooper Barrett's Guide to Surviving Life,2016,7,6.3,50,1,0,0,0
3366,Crashing,2016,,7.7,0,1,0,0,0
3367,Crazyhead,2016,,7.3,100,1,0,0,0
3368,Crisis in Six Scenes,2016,7,6.6,17,0,0,1,0
3369,D.Gray-man Hallow,2016,16,7.7,0,0,1,0,0
3370,Анна-детективъ,2016,16,7.7,0,0,0,1,0
3371,Dagashi Kashi,2016,16,6.2,0,0,1,0,0
3372,Dagger Kiss,2016,,5.3,0,0,0,1,0
3373,Damien,2016,16,6.9,11,0,1,0,0
3374,Darr Sabko Lagta Hai,2016,,6.1,0,1,0,0,0
3375,DC's Legends of Tomorrow,2016,16,6.8,87,1,0,0,0
3376,Death Row,2016,,,0,0,0,1,0
3377,Deep Water,2016,,6.9,0,1,0,1,0
3378,Degrassi: Next Class,2016,7,6.9,0,1,0,0,0
3379,Derek Does Stuff with a Friend,2016,,,0,0,1,0,0
3380,Descendants of the Sun,2016,16,8.4,0,1,1,1,0
3381,Designated Survivor,2016,7,7.5,71,1,0,0,0
3382,Desperate Widows,2016,,,0,0,0,1,0
3383,Dice,2016,18,7.4,33,0,1,0,0
3384,Diesel Brothers,2016,16,6.6,0,0,1,0,0
3385,Dirk Gently's Holistic Detective Agency,2016,16,8.3,85,0,1,0,0
3386,Doctor Thorne,2016,7,7.2,87,0,0,1,0
3387,Dog Dynasty,2016,,,0,0,0,1,0
3388,Dot.,2016,0,6.8,0,0,1,0,0
3389,Dragons: Race to the Edge,2016,,,0,1,0,0,0
3390,Dramaworld,2016,,7.5,0,1,0,0,0
3391,Dream Corp LLC,2016,16,7.1,0,0,1,0,0
3392,Dream Wedding Design,2016,,,0,0,0,1,0
3393,Dyches Fam 2016,2016,,,0,0,0,1,0
3394,Easy,2016,18,6.9,90,1,0,0,0
3395,Eat the World with Emeril Lagasse,2016,16,7.9,0,0,0,1,0
3396,El Chema,2016,16,7,0,1,0,0,0
3397,El marginal,2016,18,8.2,0,1,0,0,0
3398,El Vato,2016,,6.7,0,1,0,0,0
3399,Election Cycle,2016,,,0,0,1,0,0
3400,Elena of Avalor,2016,0,6.4,0,0,0,0,1
3401,Empire of the Tsars: Romanov Russia with Lucy Worsley,2016,7,7.6,0,0,0,1,0
3402,Eori,2016,,,0,0,0,1,0
3403,Epic Conversations,2016,,,0,0,1,0,0
3404,Equipo Constructor en Auto City,2016,,,0,0,0,1,0
3405,ERASED,2016,16,8.5,0,1,1,0,0
3406,Estocolmo,2016,18,5.8,0,1,0,0,0
3407,Evil Knows!,2016,,,0,0,0,1,0
3408,F*ck That's Delicious,2016,18,8,0,0,1,0,0
3409,Faaail!,2016,,,0,0,0,1,0
3410,Falling Water,2016,16,6.5,26,0,0,1,0
3411,Fangbone!,2016,7,5.6,0,1,0,0,0
3412,Fantastic,2016,16,7.3,0,1,0,0,0
3413,Fantasy Forecast,2016,,,0,0,1,0,0
3414,Fearless,2016,,7.1,0,1,0,0,0
3415,Feed the Beast,2016,16,6.7,23,0,1,0,0
3416,Filthy Rich,2016,,7.2,0,0,1,0,0
3417,"Find It, Fix It, Flog It",2016,,,0,1,0,0,0
3418,Finding the Next,2016,,,0,0,1,0,0
3419,Finley's Factory - Super Simple,2016,,,0,0,0,1,0
3420,Flaked,2016,18,7.2,35,1,0,0,0
3421,Flannery's Porch,2016,,,0,0,0,1,0
3422,Fleabag,2016,18,8.7,100,0,0,1,0
3423,Flophouse,2016,16,5.2,0,0,1,0,0
3424,Flowers,2016,,8.2,100,1,0,0,0
3425,Flying Witch,2016,0,7.2,0,0,1,0,0
3426,Four Seasons in Havana,2016,18,7.6,0,1,0,0,0
3427,Foxy Ladies,2016,,5.6,0,0,0,1,0
3428,Freakish,2016,16,6.4,0,0,1,0,0
3429,Frequency,2016,7,7.5,77,1,0,0,0
3430,Fresh Tracks,2016,,8.8,0,0,0,1,0
3431,Frontier,2016,18,7.2,75,1,0,0,0
3432,Fukuyadou Honpo: Kyoto Love Story,2016,,7.7,0,0,0,1,0
3433,Fuller House,2016,7,6.8,28,1,0,0,0
3434,Garage Dreams,2016,,,0,0,0,1,0
3435,GayTerns,2016,,,0,0,0,1,0
3436,Geeking Out,2016,,7.2,0,0,0,1,0
3437,Genius by Stephen Hawking,2016,0,7.7,0,0,0,1,0
3438,Genius of the Modern World,2016,0,7.6,0,1,0,0,0
3439,Gentlemen & Gangsters,2016,,7,0,1,0,0,0
3440,Get Sweaty,2016,,,0,0,1,0,0
3441,Ghost Dimension,2016,7,6.2,0,0,0,1,0
3442,Gilmore Girls: A Year in the Life,2016,16,7.7,0,1,0,0,0
3443,Girls Beyond the Wasteland,2016,,5.2,0,0,1,0,0
3444,Going Si-ral,2016,,,0,0,1,0,0
3445,Gold Medal Families,2016,18,,0,0,1,0,0
3446,Gold War,2016,,,0,0,0,1,0
3447,Goliath,2016,16,8.2,82,0,0,1,0
3448,Good Behavior,2016,16,8.1,78,0,1,0,0
3449,Good Morning Call,2016,0,7.8,0,1,0,0,0
3450,Goodbye Mr. Black,2016,,6.8,0,1,0,0,0
3451,Gordon Buchanan: Elephant Family & Me,2016,7,7.7,0,1,0,0,0
3452,Gotthard,2016,,6.5,0,0,0,1,0
3453,Graves,2016,18,6.5,50,0,1,0,0
3454,Greenleaf,2016,7,7.3,0,1,0,0,0
3455,Grimgar of Fantasy and Ash,2016,16,7.5,0,0,1,0,0
3456,Grizzy & the Lemmings,2016,0,6.6,0,1,0,0,0
3457,Hairy Bikers: Chicken & Egg,2016,,6.6,0,1,0,0,0
3458,Halloween Songs for Kids,2016,,,0,0,0,1,0
3459,Handcrafted America,2016,,8.7,0,0,0,1,0
3460,Hap and Leonard,2016,16,7.6,0,1,0,0,0
3461,Happy Bear Kid Andrea,2016,,,0,0,0,1,0
3462,Happy Marriage!?,2016,,7.3,0,0,0,1,0
3463,Haters Back Off,2016,7,6,50,1,0,0,0
3464,Haven't You Heard? I'm Sakamoto,2016,16,7.2,0,0,1,0,0
3465,Heart of a Champion,2016,,,0,0,1,0,0
3466,Helicopter ER,2016,,,0,0,0,1,0
3467,Hello World,2016,,,0,0,1,1,0
3468,Hibana: Spark,2016,,8.1,0,1,0,0,0
3469,High Blood Pressure,2016,,,0,0,0,1,0
3470,Hip Hop Evolution,2016,16,8.4,0,1,0,0,0
3471,History's Greatest Hoaxes,2016,,,0,1,0,0,0
3472,Hitoshi Matsumoto Presents Documental,2016,,8.1,0,0,0,1,0
3473,Home: Adventures with Tip & Oh,2016,7,5.8,0,1,0,0,0
3474,Hop Up TV,2016,,,0,0,0,1,0
3475,Horace and Pete,2016,18,8.5,96,0,1,0,0
