id,title,year,age,imdb,rotten_tomatoes,netflix,hulu,prime,disney
235,Star Trek: The Next Generation,1987,7,8.6,89,1,1,1,0
236,The Bold and the Beautiful,1987,16,3.4,0,0,0,1,0
237,The Ruth Rendell Mysteries,1987,16,6.8,0,0,0,1,0
238,Unsolved Mysteries,1987,7,8.3,0,0,1,1,0
239,Wiseguy,1987,7,7.8,0,0,1,0,0
240,A Very British Coup,1988,18,8.3,0,0,0,1,0
241,American Experience,1988,7,8.5,0,0,0,1,0
242,David el gnomo,1988,0,7.4,0,0,0,1,0
243,Episode dated 3 February 1988,1988,,,0,0,0,1,0
244,Garfield and Friends,1988,7,7.3,0,0,1,0,0
245,"Good Morning, Miss Bliss",1988,0,6.8,0,0,1,0,0
246,Home and Away,1988,7,5,0,0,0,1,0
247,Mount Royal,1988,,6.8,0,0,0,1,0
248,Mystery Science Theater 3000,1988,7,8.5,80,1,1,0,0
249,Roseanne,1988,7,7,76,0,1,0,0
250,The Munsters Today,1988,,5.3,0,0,1,0,0
251,The New Adventures of Winnie the Pooh,1988,0,7.6,0,0,0,0,1
252,The Wonder Years,1988,7,8.3,0,0,1,0,0
253,Whose Line Is It Anyway? (UK),1988,7,8.2,0,0,1,1,0
254,American Gladiators,1989,7,6.5,0,0,1,0,0
255,America's Funniest Home Videos,1989,7,6.2,0,1,1,0,1
256,Baywatch,1989,7,5.3,0,0,1,1,0
257,Chip 'n' Dale Rescue Rangers,1989,0,7.6,0,0,0,0,1
258,Cops,1989,18,7,0,0,0,1,0
259,"Doogie Howser, M.D.",1989,7,6.5,0,0,1,0,0
260,Family Matters,1989,0,6.5,0,0,1,0,0
261,Goku Midnight Eye,1989,,6.9,0,0,0,1,0
262,One Night Stand,1989,18,8.2,0,0,0,1,0
263,Quantum Leap,1989,7,8.1,0,0,1,0,0
264,Ranma ½,1989,16,7.9,0,0,1,0,0
265,Saved by the Bell,1989,0,7,0,0,1,0,0
266,Seinfeld,1989,7,8.8,88,0,1,0,0
267,The Karate Kid,1989,,4.9,0,0,0,1,0
268,The Simpsons,1989,7,8.7,85,0,1,0,1
269,The Super Mario Bros. Super Show!,1989,7,6.2,0,1,0,0,0
270,The Young Riders,1989,7,7.8,0,0,0,1,0
271,USWA Memphis Wrestling,1989,,,0,0,0,1,0
272,"Beverly Hills, 90210",1990,7,6.3,0,0,1,0,0
273,Bobby's World,1990,0,7.3,0,0,0,1,0
274,Chillers,1990,,6.8,0,0,0,1,0
275,Jim Henson Presents Mother Goose Stories,1990,0,7.8,0,0,1,0,0
276,Mr. Bean,1990,0,8.5,100,0,1,1,0
277,Smoke & Steam,1990,,,0,0,0,1,0
278,Supermarket Sweep,1990,0,7.3,0,0,0,1,0
279,TaleSpin,1990,0,7.6,0,0,0,0,1
280,The Occult History of the Third Reich,1990,,7.1,0,0,0,1,0
281,Timelines Of Ancient Civilizations: 7-part Series,1990,,,0,0,0,1,0
282,Tiny Toon Adventures,1990,0,7.5,0,0,1,0,0
283,Twin Peaks,1990,18,8.8,89,1,1,0,0
284,Wings,1990,7,7.2,0,0,1,0,0
285,World of Discovery,1990,,,0,0,0,1,0
286,A Woman Named Jackie,1991,7,6.7,0,0,0,1,0
287,Baby Talk,1991,0,4.2,0,0,0,1,0
288,Brum,1991,7,6.2,0,0,0,1,0
289,Captain N and the New Super Mario World,1991,0,6.6,0,0,0,1,0
290,Charlie Rose,1991,0,7.5,0,0,1,0,0
291,Darkwing Duck,1991,7,7.6,0,0,0,0,1
292,Doug,1991,0,7.4,0,0,1,0,1
293,"Eerie, Indiana",1991,7,8.2,100,0,0,1,0
294,Land of the Lost,1991,,6.9,0,0,0,1,0
295,Prime Suspect,1991,18,8.4,100,0,1,0,0
